timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
2590905458,0.0486157,-0.0367448,-0.030262,-0.997437,-0.000574513,0.00350611,-0.0714614
2590937438,0.053349,-0.0152509,-0.033895,-0.997486,-0.00149166,0.00375544,-0.0707536
2590965409,0.061467,-0.0204497,-0.0329511,-0.997525,-0.00235714,0.00388878,-0.0701589
2590997433,0.0482749,-0.0228602,-0.0333849,-0.997573,-0.00326837,0.00408452,-0.069429
2591029449,0.0565531,-0.0119962,-0.0369866,-0.997622,-0.00411743,0.00425535,-0.0686629
2591061441,0.0652094,-0.00444942,-0.0389447,-0.997672,-0.00512498,0.00437076,-0.0678655
2591093421,0.0213996,0.00240913,-0.0402781,-0.997724,-0.00575877,0.00432898,-0.0670421
2591125435,0.00268836,0.0110828,-0.0347457,-0.997778,-0.00590533,0.00425571,-0.0662318
2591157446,-0.0251753,0.00394263,-0.038898,-0.997834,-0.00567962,0.00425713,-0.065397
2591189435,-0.0421517,-0.0183395,-0.0412601,-0.99789,-0.00510748,0.00438631,-0.0645814
2591217435,-0.0140308,-0.024403,-0.0367673,-0.997933,-0.00478391,0.00472728,-0.063905
2591249435,0.048386,-0.0554186,-0.0346724,-0.997975,-0.0052167,0.00543364,-0.0631668
2591281465,0.0416257,-0.0677836,-0.0293025,-0.998006,-0.00609394,0.0062871,-0.0625146
2591313436,0.0267334,-0.0649702,-0.0177428,-0.998032,-0.0066664,0.00721837,-0.0619323
2591345435,0.0375096,-0.0573141,-0.0173375,-0.998057,-0.00714628,0.00811612,-0.061361
2591378228,0.147182,-0.0264608,-0.00356569,-0.998064,-0.00865741,0.00868486,-0.0609835
2591407014,0.253142,0.0188518,0.00862435,-0.998042,-0.0116302,0.00857506,-0.0608554
2591439015,0.264431,0.0789174,0.0149377,-0.997991,-0.0157137,0.00751355,-0.0609176
2591471084,0.23832,0.145959,0.0202815,-0.997921,-0.019638,0.00540984,-0.0611444
2591503020,0.218877,0.174129,0.0280805,-0.997844,-0.0229416,0.00264764,-0.061434
2591535028,0.159987,0.175243,0.0351003,-0.997752,-0.025799,-0.000482205,-0.0618402
2591567020,0.0300276,0.132077,0.0355662,-0.997692,-0.0269557,-0.00289045,-0.0622494
2591599049,-0.0851929,0.0402901,0.0401373,-0.997679,-0.0261809,-0.0041008,-0.062722
2591627015,-0.156159,-0.016927,0.0389901,-0.997699,-0.0243287,-0.00407194,-0.0631581
2591659054,-0.171866,-0.0697131,0.0442544,-0.997726,-0.0217739,-0.00305689,-0.0637101
2591691071,-0.184062,-0.0996418,0.0535231,-0.997748,-0.0189273,-0.00154873,-0.0643333
2591723015,-0.198959,-0.102166,0.0595104,-0.997757,-0.0159071,0.000226426,-0.0650231
2591755015,-0.206682,-0.0981446,0.0657017,-0.99775,-0.0126285,0.00215351,-0.0658131
2591787056,-0.18752,-0.099848,0.0720142,-0.997725,-0.00963484,0.00395748,-0.0666126
2591819038,-0.160835,-0.101876,0.0726003,-0.99768,-0.00689588,0.00578845,-0.067473
2591851039,-0.124361,-0.0955141,0.0772522,-0.997618,-0.00479742,0.00748945,-0.0683995
2591879040,-0.0921104,-0.0972847,0.0747436,-0.997558,-0.00339099,0.00893706,-0.0691873
2591911039,-0.0701132,-0.101362,0.0727723,-0.997481,-0.00220118,0.010599,-0.0701088
2591947035,-0.046047,-0.0973087,0.0697693,-0.99739,-0.00145746,0.0124396,-0.0711065
2591979034,-0.0490935,-0.0890363,0.0712744,-0.997308,-0.000770665,0.0139723,-0.0719814
2592011040,-0.0433502,-0.077709,0.0770327,-0.997223,-6.43036e-05,0.0153432,-0.0728776
2592043020,-0.0360903,-0.0544554,0.0725312,-0.997143,0.00051495,0.0163429,-0.0737462
2592075041,-0.0185602,-0.024572,0.0649434,-0.99707,0.000976559,0.0169236,-0.0745983
2592107037,-0.00624934,-0.00386599,0.0595124,-0.997008,0.00109199,0.0170454,-0.0753926
2592139034,0.00748817,0.0259188,0.0631091,-0.996952,0.00105187,0.016707,-0.0761958
2592171099,-0.00451071,0.0467317,0.0560819,-0.996908,0.00102076,0.0160058,-0.0769284
2592203036,-0.0474236,0.0467568,0.0471563,-0.996873,0.00152804,0.0152084,-0.0775241
2592235023,-0.0411062,0.0456232,0.0485738,-0.996843,0.00229457,0.0144117,-0.0780456
2592267037,-0.0113263,0.0473601,0.0477572,-0.996813,0.0026859,0.013638,-0.0785514
2592299027,0.00903304,0.0546098,0.0418017,-0.996787,0.00271818,0.0128917,-0.0790035
2592327035,0.00787328,0.0496254,0.0387331,-0.996766,0.00259592,0.0121196,-0.079394
2592359063,0.00890509,0.0511221,0.0331405,-0.996752,0.00263963,0.0113481,-0.0796908
2592391039,0.141341,0.0676893,0.0294495,-0.996741,0.00150244,0.0103933,-0.079985
2592423021,0.322575,0.125869,0.0251909,-0.996738,-0.00229462,0.00845199,-0.0802307
2592455035,0.387246,0.186868,0.0198413,-0.996714,-0.00797228,0.00529899,-0.0804378
2592487027,0.368949,0.167318,0.0193152,-0.996644,-0.0141232,0.00170307,-0.0806071
2592519037,0.335433,0.069992,0.0147906,-0.996555,-0.0194259,-0.000502168,-0.0806263
2592547824,0.242193,-0.000811577,0.00419306,-0.996477,-0.0234015,-0.00121013,-0.0805321
2592580653,0.152015,-0.000731693,0.00516369,-0.996414,-0.0264031,-0.00140285,-0.0803761
2592612620,0.0839883,0.0358252,0.00159735,-0.996384,-0.027997,-0.00186598,-0.0801996
2592644612,0.0387082,0.0503558,-0.00328786,-0.996378,-0.0287665,-0.00267634,-0.0799721
2592676615,0.0178131,0.0497185,-0.00936893,-0.996388,-0.0290876,-0.00358444,-0.0797059
2592708644,0.0181708,0.0503866,-0.00676264,-0.996402,-0.0292391,-0.00427728,-0.0794334
2592736636,-0.0365497,0.0304051,-0.0145617,-0.996435,-0.0289351,-0.00479661,-0.079101
2592768640,-0.160473,-0.0101252,-0.0126056,-0.996509,-0.0273755,-0.00487292,-0.0787236
2592800614,-0.275635,-0.0692896,-0.0104892,-0.996642,-0.0236571,-0.0038892,-0.0782998
2592832618,-0.335357,-0.152683,-0.0146541,-0.996789,-0.0186944,-0.00152521,-0.0778392
2592864635,-0.333753,-0.235331,-0.0128837,-0.996912,-0.0136165,0.00210418,-0.0773091
2592896658,-0.298014,-0.278751,-0.0153577,-0.99699,-0.0088599,0.00665352,-0.0767361
2592928642,-0.233857,-0.290585,-0.019996,-0.997015,-0.00496688,0.0115744,-0.0761754
2592960627,-0.187142,-0.281368,-0.0187163,-0.997003,-0.00221056,0.0162605,-0.0756066
2592988653,-0.164836,-0.237134,-0.0208918,-0.996977,1.4152e-06,0.0199004,-0.0751055
2593020635,-0.126952,-0.170428,-0.0130097,-0.996942,0.00205365,0.023189,-0.0746001
2593052657,-0.0473579,-0.111321,-0.00934072,-0.996921,0.00320962,0.0253536,-0.0741264
2593084635,0.0261888,-0.0496698,-0.0100712,-0.996924,0.00325237,0.0264972,-0.0736835
2593116634,0.0673837,0.00841315,-0.012271,-0.996957,0.00246278,0.0266417,-0.0732197
2593148640,0.100836,0.0537574,-0.0150211,-0.997016,0.0010567,0.0258496,-0.0727267
2593180654,0.110344,0.100525,-0.0265637,-0.997096,-0.000602331,0.0243552,-0.0721475
