timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature
2571682752,0,2771.48,2785.55,-1000.0
2571742627,0,2776.32,2790.13,-1000.0
2571790754,0,2787.6,2790.43,-1000.0
2571838928,0,2797.27,2785.93,-1000.0
2571898674,0,2769.87,2785.17,-1000.0
2571946653,0,2789.21,2785.91,-1000.0
2572006764,0,2800.49,2795.75,-1000.0
2572054621,0,2790.82,2796.63,-1000.0
2572102804,0,2810.16,2798.55,-1000.0
2572162699,0,2803.71,2804.65,-1000.0
2572210749,0,2777.93,2803.97,-1000.0
2572258867,0,2794.04,2800.46,-1000.0
2572318654,0,2797.27,2797.24,-1000.0
2572367209,0,2792.43,2794.7,-1000.0
2572427167,0,2789.21,2794.08,-1000.0
2572474583,0,2771.48,2793.73,-1000.0
2572524372,0,2803.71,2794.61,-1000.0
2572572423,0,2795.65,2796.14,-1000.0
2572632303,0,2823.05,2802.06,-1000.0
2572680222,0,2819.82,2799.01,-1000.0
2572740272,0,2813.38,2795.48,-1000.0
2572788334,0,2792.43,2793.49,-1000.0
2572837611,0,2782.76,2790.89,-1000.0
2572897756,0,2781.15,2793.21,-1000.0
2572944294,0,2781.15,2794.57,-1000.0
2572992223,0,2810.16,2800.1,-1000.0
2573052399,0,2816.6,2807.04,-1000.0
2573100301,0,2834.33,2812.51,-1000.0
2573160303,0,2840.77,2820.02,-1000.0
2573208418,0,2816.6,2822.38,-1000.0
2573256307,0,2858.5,2828.69,-1000.0
2573316259,0,2845.61,2832.6,-1000.0
2573364273,0,2823.05,2828.71,-1000.0
2573412221,0,2848.83,2833.35,-1000.0
2573472261,0,2818.21,2833.83,-1000.0
2573520387,0,2868.16,2838.64,-1000.0
2573568896,0,2834.33,2834.52,-1000.0
2573629116,0,2839.16,2832.4,-1000.0
2573679595,0,2843.99,2831.28,-1000.0
2573725914,0,2816.6,2827.5,-1000.0
2573785875,0,2824.66,2827.08,-1000.0
2573833860,0,2811.77,2824.59,-1000.0
2573881778,0,2805.32,2822.37,-1000.0
2573941751,0,2802.1,2819.67,-1000.0
2573990380,0,2826.27,2817.82,-1000.0
2574039926,0,2823.05,2815.18,-1000.0
2574101952,0,2810.16,2814.77,-1000.0
2574150010,0,2768.26,2809.14,-1000.0
2574197831,0,2813.38,2811.01,-1000.0
2574257784,0,2802.1,2809.82,-1000.0
2574305786,0,2832.71,2814.42,-1000.0
2574353824,0,2824.66,2814.8,-1000.0
2574414002,0,2834.33,2816.02,-1000.0
2574462035,0,2792.43,2814.11,-1000.0
2574510674,0,2816.6,2818.16,-1000.0
2574570863,0,2805.32,2821.71,-1000.0
2574617821,0,2814.99,2823.59,-1000.0
2574665815,0,2814.99,2822.37,-1000.0
2574727471,0,2848.83,2826.45,-1000.0
2574775451,0,2819.82,2823.38,-1000.0
2574823402,0,2819.82,2823.74,-1000.0
2574883372,0,2826.27,2827.96,-1000.0
2574931452,0,2819.82,2824.77,-1000.0
2574991463,0,2821.44,2825.23,-1000.0
2575041064,0,2824.66,2827.33,-1000.0
2575087541,0,2831.1,2828.72,-1000.0
2575147887,0,2834.33,2831.4,-1000.0
2575195763,0,2848.83,2836.12,-1000.0
2575247557,0,2843.99,2838.45,-1000.0
2575295429,0,2884.28,2847.21,-1000.0
2575355409,0,2877.83,2848.71,-1000.0
2575403403,0,2873.0,2847.71,-1000.0
2575452078,0,2871.39,2851.75,-1000.0
2575512000,0,2882.67,2859.34,-1000.0
