timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
2760577841,66.0218,69.7492,69.8565,47.71,1.0
2760590022,66.0041,69.7305,69.5616,47.71,1.0
2760601887,65.9762,69.6982,69.432,47.71,1.0
2760614694,65.967,69.6965,69.6089,47.71,1.0
2760625827,65.9687,69.6924,69.7085,47.71,1.0
2760637931,65.9801,69.7045,69.8137,47.71,1.0
2760649934,66.0204,69.7449,70.1263,47.71,1.0
2760661916,66.0167,69.7429,69.7081,47.71,1.0
2760674730,65.9955,69.7204,69.5184,47.71,1.0
2760685862,65.9924,69.7132,69.6832,47.71,1.0
2760697805,66.0055,69.7416,69.8661,47.71,1.0
2760710204,65.9953,69.7188,69.6225,47.71,1.0
2760721884,66.0061,69.7302,69.833,47.71,1.0
2760734854,66.0099,69.7325,69.7681,47.71,1.0
2760745828,66.0252,69.7563,69.9019,47.71,1.0
2760757995,66.037,69.7605,69.8726,47.71,1.0
2760769948,66.0616,69.7864,70.0195,47.71,1.0
2760781821,66.0638,69.7901,69.8109,47.71,1.0
2760795201,66.0578,69.7828,69.7257,47.71,1.0
2760805813,66.0624,69.7869,69.8302,47.71,1.0
2760815944,66.0645,69.7891,69.8092,47.71,1.0
2760829904,66.0743,69.7977,69.8915,47.7,1.0
2760841946,66.0792,69.824,69.8706,47.7,1.0
2760855279,66.0657,69.8097,69.6811,47.7,1.0
2760865769,66.0675,69.7901,69.8071,47.7,1.0
2760877816,66.0651,69.8029,69.7801,47.7,1.0
2760889810,66.055,69.7791,69.6828,47.7,1.0
2760901912,66.0579,69.782,69.8091,47.7,1.0
2760915062,66.0425,69.7672,69.6211,47.71,1.0
2760925915,66.0187,69.7473,69.5208,47.71,1.0
2760938056,66.0073,69.7352,69.6263,47.71,1.0
2760949889,65.991,69.7128,69.5578,47.71,1.0
2760961964,66.0102,69.7442,69.9267,47.71,1.0
2760975236,65.9956,69.7181,69.5792,47.71,1.0
2760985810,65.9944,69.7169,69.7057,47.71,1.0
2760997812,65.9914,69.7105,69.6815,47.71,1.0
2761009831,65.9986,69.7192,69.7878,47.71,1.0
2761021920,65.9931,69.7183,69.6663,47.71,1.0
2761035313,65.9743,69.7096,69.53,47.71,1.0
2761045905,65.9892,69.7076,69.8492,47.71,1.0
2761058307,65.9807,69.7024,69.6214,47.71,1.0
2761069904,65.9571,69.6773,69.4526,47.71,1.0
2761081892,65.9717,69.6945,69.8336,47.7,1.0
2761095396,65.945,69.6626,69.4081,47.7,1.0
2761105931,65.9529,69.6701,69.745,47.7,1.0
2761117807,65.94,69.6565,69.5342,47.7,1.0
2761129922,65.9504,69.6661,69.7647,47.7,1.0
2761141806,65.9418,69.6601,69.5781,47.7,1.0
2761153776,65.942,69.6773,69.6793,47.7,1.0
2761165796,65.9263,69.6606,69.5105,47.7,1.0
2761177812,65.9101,69.6259,69.4719,47.7,1.0
2761189852,65.8995,69.6158,69.5152,47.7,1.0
2761201763,65.9319,69.6493,69.9565,47.7,1.0
2761213875,65.9291,69.646,69.6197,47.7,1.0
2761226037,65.9306,69.6466,69.6607,47.7,1.0
2761238341,65.9299,69.6642,69.6579,47.7,1.0
2761249879,65.9473,69.6825,69.8474,47.7,1.0
2761261752,65.9789,69.6976,69.9971,47.7,1.0
2761273811,65.9674,69.6927,69.5836,47.7,1.0
2761286053,65.9611,69.6792,69.619,47.7,1.0
2761297837,65.9195,69.6352,69.2384,47.7,1.0
2761309926,65.9359,69.6563,69.8122,47.7,1.0
2761322008,65.9507,69.665,69.8053,47.7,1.0
2761333794,65.9759,69.7068,69.9465,47.7,1.0
2761346258,65.9987,69.7308,69.9465,47.7,1.0
2761357797,65.9753,69.6937,69.4709,47.7,1.0
2761369954,65.9642,69.6876,69.5819,47.7,1.0
2761382067,65.9861,69.7107,69.9187,47.7,1.0
2761393880,66.0257,69.7608,70.1367,47.7,1.0
2761406389,66.0175,69.7343,69.6566,47.7,1.0
2761417813,65.9803,69.7146,69.3594,47.7,1.0
2761430001,65.9707,69.7044,69.6131,47.7,1.0
2761443416,65.978,69.6939,69.7632,47.7,1.0
