timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,warning
2518081562,20.1529,20.0765,9.40935,9.77753,336.483,0.491059,1.15814,6,1,0
2518382603,20.3096,20.113,8.69714,9.5097,337.248,0.496084,1.15633,6,1,0
2518682664,20.1529,20.1621,8.92998,9.18744,337.973,0.502414,1.15407,6,1,0
2518986692,20.4956,20.2105,8.27256,8.94967,338.701,0.508725,1.15182,6,1,0
2519286644,20.2508,20.2342,8.94368,8.82603,339.418,0.511616,1.15079,6,1,0
2519588296,20.3487,20.2508,8.46431,8.79682,340.153,0.51371,1.15004,6,1,0
2519888369,20.4956,20.2834,8.23147,8.61466,340.848,0.517708,1.14863,6,1,0
2520188301,20.2998,20.285,9.03955,8.6614,341.573,0.517363,1.14875,6,1,0
2520489820,20.1529,20.303,8.69714,8.58707,342.284,0.519473,1.148,6,1,0
2520789934,20.241,20.2954,8.98477,8.69718,343.023,0.518374,1.14839,6,1,0
2521089917,20.4075,20.2981,8.38213,8.70887,343.754,0.518924,1.1482,6,1,0
2521390077,20.3977,20.3104,8.25886,8.60135,344.457,0.520605,1.1476,6,1,0
2521687397,20.2117,20.3075,9.20391,8.67679,345.18,0.520149,1.14776,6,1,0
2521987784,20.0843,20.2973,9.51892,8.74409,345.917,0.518389,1.14839,6,1,0
2522299449,20.1725,20.2646,9.34087,8.98506,346.721,0.513466,1.15013,6,1,0
2522599432,20.3879,20.3001,8.51909,8.72477,347.416,0.517437,1.14872,6,1,0
2522896996,19.8297,20.2457,10.6146,9.11832,348.212,0.509512,1.15154,6,1,0
2523197003,20.3683,20.2141,8.478,9.32666,349.023,0.505482,1.15297,6,1,0
2523497003,20.0746,20.1978,9.66958,9.32049,349.794,0.503125,1.15381,6,1,0
2523800164,20.2117,20.2094,9.20391,9.20078,350.554,0.505077,1.15312,6,1,0
2524098792,20.1921,20.2123,9.12173,9.09302,351.295,0.505881,1.15283,6,1,0
2524398564,20.1921,20.2114,8.98477,9.06261,352.047,0.50587,1.15283,6,1,0
2524698710,20.0843,20.1758,9.51892,9.21202,352.833,0.500698,1.15468,6,1,0
2525008574,19.536,20.0164,11.9021,10.2417,353.834,0.479187,1.16243,6,1,0
2525308584,20.339,19.9796,9.45044,10.3696,354.72,0.473875,1.16435,6,1,0
2525608445,19.8983,19.9646,10.0942,10.1898,355.536,0.470166,1.16571,6,1,0
2525909897,20.241,19.9474,8.80671,10.1396,356.385,0.466198,1.16715,6,1,0
2526210371,19.9473,19.9896,9.76545,9.6313,357.121,0.46958,1.16592,6,1,0
2526510070,19.6926,19.9744,10.8749,9.75145,357.938,0.466294,1.16712,6,1,0
2526809795,19.5262,19.8376,12.1486,10.7974,358.966,0.448419,1.17369,6,1,0
2527111949,19.9864,19.9126,9.34087,10.0343,359.718,0.458666,1.16991,6,1,0
2527411546,20.0452,19.9287,9.51892,9.84312,360.511,0.460909,1.16909,6,1,0
2527711658,20.006,19.9038,9.77915,10.0253,361.366,0.458614,1.16993,6,1,0
2528011512,19.3597,19.8077,11.6418,10.7018,362.338,0.447571,1.174,6,1,0
2528313007,19.9668,19.7524,9.75176,10.9995,363.31,0.442329,1.17594,6,1,0
2528613199,19.5556,19.779,11.2857,10.5917,364.136,0.446747,1.17431,6,1,0
2528913087,19.7612,19.7854,10.4914,10.5399,365.006,0.448615,1.17362,6,1,0
2529210578,19.6535,19.8136,10.4777,10.2719,365.826,0.45321,1.17192,6,1,0
2529522777,19.7122,19.7469,11.3131,10.801,366.825,0.444965,1.17497,6,1,0
2529822756,19.7906,19.766,10.4229,10.6081,367.682,0.448026,1.17383,6,1,0
2530122967,20.1431,19.8578,9.19021,9.83682,368.406,0.459869,1.16947,6,1,0
2530424251,20.2508,19.9518,8.56018,9.20953,369.099,0.471704,1.16515,6,1,0
2530724282,19.771,19.9465,9.65588,9.34799,369.889,0.470419,1.16561,6,1,0
2531028211,19.4283,19.8728,12.2171,9.96884,370.806,0.460934,1.16908,6,1,0
