timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
2527364183,2527146381,2527364183,0,0,1,215,204,72,91,64,51,68
2528139181,2528139181,2527364183,0,0,1,215,204,72,91,64,51,68
2528203461,2528139181,2528203461,0,0,1,210,204,74,89,83,51,68
2529160344,2528139181,2529160344,0,0,1,214,198,75,87,50,51,68
2529171351,2529171351,2529160344,0,0,1,214,198,75,87,50,51,68
2530081054,2530081054,2529160344,0,0,1,214,198,75,87,50,51,68
2530512464,2530081054,2530512464,0,0,1,214,200,72,86,56,51,68
2531062349,2531062349,2530512464,0,0,1,214,200,72,86,56,51,68
2531404352,2531062349,2531404352,0,0,1,215,196,70,90,42,51,68
2532104815,2532104815,2531404352,0,0,1,215,196,70,90,42,51,68
2532529918,2532104815,2532529918,0,0,1,212,197,74,86,75,51,68
2533085553,2533085553,2532529918,0,0,1,212,197,74,86,75,51,68
2533209885,2533085553,2533209885,0,0,1,210,204,73,87,74,51,68
2534112348,2533085553,2534112348,0,0,1,208,196,70,93,85,51,68
2534128372,2534128372,2534112348,0,0,1,208,196,70,93,85,51,68
2535020369,2535020369,2534112348,0,0,1,208,196,70,93,85,51,68
2535229064,2535020369,2535229064,0,0,1,213,204,77,87,89,51,68
2535918839,2535020369,2535918839,0,0,1,207,200,75,88,100,51,68
2536155347,2536155347,2535918839,0,0,1,207,200,75,88,100,51,68
2537042729,2536155347,2537042729,0,0,1,210,195,71,92,83,51,68
2537056377,2537056377,2537042729,0,0,1,210,195,71,92,83,51,68
2537933370,2537056377,2537933370,0,0,1,206,197,70,88,100,51,68
2538038357,2538038357,2537933370,0,0,1,206,197,70,88,100,51,68
2539059355,2538038357,2539059355,0,0,1,209,207,72,94,76,51,68
2539075190,2539075190,2539059355,0,0,1,209,207,72,94,76,51,68
2540061775,2540061775,2539059355,0,0,1,209,207,72,94,76,51,68
2540133495,2540061775,2540133495,0,0,1,213,204,75,94,89,51,68
2541087917,2540061775,2541087917,0,0,1,210,203,66,88,95,51,68
2541099115,2541099115,2541087917,0,0,1,210,203,66,88,95,51,68
2542086469,2542086469,2541087917,0,0,1,210,203,66,88,95,51,68
2542149644,2542086469,2542149644,0,0,1,212,204,76,90,92,51,68
2543106457,2542086469,2543106457,0,0,1,212,198,74,87,100,51,68
