timestamp,voltage5V_v,usb_connected,brick_valid,servo_valid,periph_5V_OC,hipower_5V_OC
599744797,4.91777,0,1,0,0,0
600044815,4.89038,0,1,0,0,0
600344819,4.88877,0,1,0,0,0
600644783,4.89683,0,1,0,0,0
600944810,4.89683,0,1,0,0,0
601244809,4.91777,0,1,0,0,0
601544798,4.88071,0,1,0,0,0
601854773,4.92261,0,1,0,0,0
602154808,4.95967,0,1,0,0,0
602454773,4.95967,0,1,0,0,0
602754773,4.92744,0,1,0,0,0
603054773,4.921,0,1,0,0,0
603354773,4.95806,0,1,0,0,0
603654773,4.96289,0,1,0,0,0
603954773,4.93066,0,1,0,0,0
604254814,4.94355,0,1,0,0,0
604554773,4.92905,0,1,0,0,0
604864784,4.91777,0,1,0,0,0
605164792,4.91294,0,1,0,0,0
605464797,4.89521,0,1,0,0,0
605764800,4.89683,0,1,0,0,0
606064830,4.92744,0,1,0,0,0
606364817,4.91938,0,1,0,0,0
606664791,4.86299,0,1,0,0,0
606964800,4.90488,0,1,0,0,0
607264815,4.90166,0,1,0,0,0
607564819,4.93711,0,1,0,0,0
607864807,4.90327,0,1,0,0,0
608174773,4.95161,0,1,0,0,0
608474799,4.92422,0,1,0,0,0
608774773,4.9355,0,1,0,0,0
609074827,4.92744,0,1,0,0,0
609374773,4.91294,0,1,0,0,0
609674773,4.95967,0,1,0,0,0
609974780,4.94355,0,1,0,0,0
610274773,4.92905,0,1,0,0,0
610574776,4.92422,0,1,0,0,0
610874773,4.9355,0,1,0,0,0
611184824,4.91455,0,1,0,0,0
611484784,4.89521,0,1,0,0,0
611784797,4.87588,0,1,0,0,0
612084820,4.92744,0,1,0,0,0
612384816,4.8501,0,1,0,0,0
612684804,4.91455,0,1,0,0,0
612984796,4.91616,0,1,0,0,0
613294773,4.91616,0,1,0,0,0
613594814,4.90488,0,1,0,0,0
613894773,4.92905,0,1,0,0,0
614194773,4.92744,0,1,0,0,0
614494773,4.95967,0,1,0,0,0
614794777,4.96772,0,1,0,0,0
615094773,4.92422,0,1,0,0,0
615394773,4.84526,0,1,0,0,0
615694786,4.91938,0,1,0,0,0
616004789,4.87749,0,1,0,0,0
616304773,4.90649,0,1,0,0,0
616604815,4.89038,0,1,0,0,0
