timestamp,system_id,component_id,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,engine_failure,engine_failure_cmd,mission_failure
586523555,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
586754655,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
586994768,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
587232084,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
587465648,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
587695723,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
587923705,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
588151188,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
588383531,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
588627394,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
588867512,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
589096503,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
589327537,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
589554870,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
589781820,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
590018754,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
590260083,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
590500200,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
590729036,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
590961073,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
591187112,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
591419632,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
591658839,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
591899552,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
592133822,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
592361757,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
592590666,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
592822058,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
593060388,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
593301490,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
593540906,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
593765675,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
593997125,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
594225926,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
594460549,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
594698587,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
594936069,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
595174881,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
595400832,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
595629204,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
595856384,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
596082506,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
596322446,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
596563661,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
596800548,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
597029786,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
597258548,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
597490596,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
597722589,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
597959874,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
598199873,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
598430624,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
598657289,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
598885908,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
599117803,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
599354691,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
599592364,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
599826531,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
600058437,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
600289680,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
600516500,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
600746767,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
600986785,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
601227685,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
601457748,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
601691546,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
601918420,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
602147222,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
602382482,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
602619534,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
602857891,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
603089724,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
603321194,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
603546095,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
603783404,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
