timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
590262383,0.0263157,-0.0613529,0.026148,0.004026,0,-0.0929363,0.249138,-9.79703,0.004026,-4034,-0.402575,0.0268205,0.130072,-10049,50.1478,49.31
590266341,8.29178e-05,-0.0335034,0.0314911,0.003958,0,-0.190308,0.324035,-9.92537,0.003958,-7992,-0.402575,0.0268205,0.130072,-1929,50.9008,49.31
590270341,0.0219317,-0.0437181,0.03078,0.004,0,-0.128938,0.370907,-9.72546,0.004,-2374,-0.404466,0.0157741,0.127713,-5929,50.9008,49.31
590274342,0.000619126,-0.0457814,0.0375382,0.004001,0,-0.146611,0.0997127,-10.0237,0.004001,-6375,-0.404466,0.0157741,0.127713,-9930,50.9008,49.31
590278361,0.0170644,-0.0390879,0.0309096,0.004019,0,-0.153074,0.384321,-9.70291,0.004019,-8,-0.41559,0.0219514,0.131777,-2826,50.8172,49.31
590282341,0.000819538,-0.0421416,0.0378619,0.00398,0,-0.161906,0.150371,-9.95459,0.00398,-3988,-0.41559,0.0219514,0.131777,-6806,50.8172,49.31
590286341,0.00700791,-0.049353,0.0300224,0.004,0,-0.130508,0.439701,-9.69419,0.004,-7988,-0.41559,0.0219514,0.131777,-10806,50.8172,49.31
590290341,0.00705518,-0.0383139,0.0394268,0.004,0,-0.164219,0.0606559,-9.92484,0.004,-2375,-0.393387,0.00978576,0.120059,-14806,50.8172,49.31
590294342,-0.0112789,-0.0493289,0.0323682,0.004001,0,-0.105672,0.371455,-9.83264,0.004001,-6376,-0.393387,0.00978576,0.120059,-18807,50.8172,49.31
590298359,0.0100521,-0.0435606,0.0391266,0.004017,0,-0.16568,0.15728,-9.83912,0.004017,-8,-0.39329,0.0221403,0.12791,-22824,50.8172,49.31
590302341,-0.0251159,-0.0388453,0.0368474,0.003982,0,-0.104248,0.298758,-9.71271,0.003982,-3990,-0.39329,0.0221403,0.12791,-3427,52.1556,49.31
590306341,-0.0053478,-0.0612568,0.0414905,0.004,0,-0.12593,0.217737,-10.0108,0.004,-7990,-0.39329,0.0221403,0.12791,-7427,52.1556,49.31
590310342,-0.0352899,-0.0265206,0.0416278,0.004001,0,-0.241585,0.392734,-9.71773,0.004001,-2387,-0.38583,0.0412391,0.128823,-690,52.0726,49.31
590314342,-0.0125931,-0.0555443,0.0476848,0.004,0,-0.0905843,0.213913,-9.85149,0.004,-6387,-0.38583,0.0412391,0.128823,-4690,52.0726,49.31
590318347,-0.0491261,-0.0363497,0.0448279,0.004005,0,-0.143199,0.448683,-9.7262,0.004005,-8,-0.383997,0.0301927,0.126419,-8695,52.0726,49.31
590322379,-0.00910198,-0.0474184,0.0501999,0.004032,0,-0.178941,0.281213,-9.89466,0.004032,-4040,-0.383997,0.0301927,0.126419,-1971,50.5664,49.31
590326341,-0.0491624,-0.0416113,0.0496013,0.003962,0,-0.145552,0.317044,-9.6783,0.003962,-8002,-0.383997,0.0301927,0.126419,-5933,50.5664,49.31
590330342,-0.00323196,-0.0522984,0.0558178,0.004001,0,-0.0331261,0.380107,-9.73686,0.004001,-2399,-0.387812,0.0273874,0.119116,-9934,50.5664,49.31
590334342,-0.0387994,-0.0398615,0.0529386,0.004,0,-0.211296,0.0771104,-9.74772,0.004,-6399,-0.387812,0.0273874,0.119116,-13934,50.5664,49.31
590338347,-0.0188486,-0.0663585,0.054624,0.004005,0,-0.0974117,0.322142,-9.99618,0.004005,-8,-0.417519,0.0206433,0.12633,-17939,50.5664,49.31
590342365,-0.0354764,-0.0280724,0.0514309,0.004018,0,-0.171501,0.26157,-9.66878,0.004018,-4026,-0.417519,0.0206433,0.12633,-918,50.5664,49.31
590346342,-0.0292428,-0.057417,0.0573566,0.003977,0,-0.0560711,0.260006,-9.87767,0.003977,-8003,-0.417519,0.0206433,0.12633,-4895,50.5664,49.31
