timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
560565721,560561579,0.00509664,0.012566,0.0323044,0.0,0.0,0.0,0.0,-1.0
560669694,560665570,0.00398337,0.00900224,0.0302709,0.0,0.0,0.0,0.0,-1.0
560770629,560766350,0.00254533,0.0116173,-0.0206263,0.0,0.0,0.0,0.0,-1.0
560870493,560866341,0.00341616,-0.00634174,-0.0200269,0.0,0.0,0.0,0.0,-1.0
560976293,560970342,0.0031379,0.00168434,-0.0133835,0.0,0.0,0.0,0.0,-1.0
561076377,561071146,0.00721378,0.00300034,0.0226694,0.0,0.0,0.0,0.0,-1.0
561179295,561175147,0.0058651,-0.0138064,-0.0134353,0.0,0.0,0.0,0.0,-1.0
561280100,561275950,0.0057017,0.00893814,-0.0211855,0.0,0.0,0.0,0.0,-1.0
561380163,561375967,-0.000396794,-0.00601299,0.0055864,0.0,0.0,0.0,0.0,-1.0
561484181,561479960,-0.00184192,0.00302908,-0.00238922,0.0,0.0,0.0,0.0,-1.0
561584140,561579954,0.00719957,0.000670043,-0.00355969,0.0,0.0,0.0,0.0,-1.0
561684980,561680741,0.00487241,0.0120572,-0.0298134,0.0,0.0,0.0,0.0,-1.0
561788940,561784754,0.00887649,0.0132077,-0.0131427,0.0,0.0,0.0,0.0,-1.0
561888919,561884748,-0.0031506,-0.000219073,0.0443942,0.0,0.0,0.0,0.0,-1.0
561989754,561985587,0.00652269,0.00803106,0.02673,0.0,0.0,0.0,0.0,-1.0
562093786,562089552,0.00241807,-0.000241041,0.0372799,0.0,0.0,0.0,0.0,-1.0
562193755,562189543,0.0101585,0.0103936,-0.0392238,0.0,0.0,0.0,0.0,-1.0
562294541,562290342,0.00471836,-0.00465965,-0.00330535,0.0,0.0,0.0,0.0,-1.0
562398506,562394342,0.00190379,-0.00623786,0.00855391,0.0,0.0,0.0,0.0,-1.0
562498523,562494342,0.00664501,0.00891349,0.0357275,0.0,0.0,0.0,0.0,-1.0
562599353,562595150,-0.00479161,-0.00669453,-0.067681,0.0,0.0,0.0,0.0,-1.0
562703381,562699170,-0.00213336,0.00609387,-0.0517265,0.0,0.0,0.0,0.0,-1.0
562803369,562799157,0.00814922,-0.0042439,0.0195451,0.0,0.0,0.0,0.0,-1.0
562904143,562899968,0.00466721,0.0119098,0.0033349,0.0,0.0,0.0,0.0,-1.0
563009290,563003944,0.00658748,0.00836735,-0.00997392,0.0,0.0,0.0,0.0,-1.0
563112217,563107993,0.00730041,0.00981304,0.0188988,0.0,0.0,0.0,0.0,-1.0
563212962,563208757,0.00249946,0.00441897,-0.0606295,0.0,0.0,0.0,0.0,-1.0
563312955,563308750,0.00126609,-1.04646e-05,0.0566752,0.0,0.0,0.0,0.0,-1.0
563416924,563412743,0.00128058,-0.0024239,0.0375117,0.0,0.0,0.0,0.0,-1.0
563517746,563513549,0.00118087,0.00851205,0.031691,0.0,0.0,0.0,0.0,-1.0
563617774,563613594,0.00333966,-0.00291592,-0.0325513,0.0,0.0,0.0,0.0,-1.0
563721785,563717557,0.00308795,0.00540847,-0.0656962,0.0,0.0,0.0,0.0,-1.0
563822638,563818360,0.00786783,0.00169996,-3.06417e-06,0.0,0.0,0.0,0.0,-1.0
563922570,563918344,0.00343687,0.00321109,0.00931312,0.0,0.0,0.0,0.0,-1.0
564026518,564022347,0.00513197,0.0046053,0.0248709,0.412014,0.0,0.0,0.0,-1.0
564127321,564123142,0.0084678,0.00838085,-0.0335458,0.426285,0.0,0.0,0.0,-1.0
564227332,564223171,0.0142423,0.00655465,-0.000884637,0.463326,0.0,0.0,0.0,-1.0
564327314,564323147,0.00503915,-0.00082569,0.00949277,0.504789,0.0,0.0,0.0,-1.0
564432134,564427964,0.0364698,0.04082,-0.0653396,0.557251,0.0,0.0,0.0,-1.0
564532101,564527961,-0.00405837,0.0588097,-0.0272531,0.584284,0.0,0.0,0.0,-1.0
564632150,564627985,-0.0570636,0.0585625,0.0215378,0.595581,0.0,0.0,0.0,-1.0
564736987,564732741,-0.0336447,0.0541042,0.0464573,0.598435,0.0,0.0,0.0,-1.0
564836954,564832742,0.0186474,0.0746467,-0.0425031,0.586888,0.0,0.0,0.0,-1.0
564936926,564932757,0.0267986,0.0844614,-0.0588838,0.594641,0.0,0.0,0.0,-1.0
565042244,565037542,-0.0130224,0.0592249,-0.0898898,0.596431,0.0,0.0,0.0,-1.0
565142440,565137541,-0.0265118,0.0522169,-0.0984943,0.602773,0.0,0.0,0.0,-1.0
565242630,565237560,-0.00274629,0.0535856,-0.0966996,0.609672,0.0,0.0,0.0,-1.0
565345701,565341576,-0.00330321,0.0362229,-0.0949036,0.599721,0.0,0.0,0.0,-1.0
565446543,565442343,-0.0364299,0.0324093,-0.0489379,0.604893,0.0,0.0,0.0,-1.0
565546547,565542374,0.00191044,0.0376847,0.00178644,0.611275,0.0,0.0,0.0,-1.0
565647363,565642342,0.0243625,0.0150044,0.0169165,0.604858,0.0,0.0,0.0,-1.0
565751429,565747162,0.0298837,0.0156204,0.00484673,0.610151,0.0,0.0,0.0,-1.0
565851439,565847172,0.00593412,0.0268702,-0.0209458,0.620085,0.0,0.0,0.0,-1.0
565956172,565951974,0.0275851,0.0323957,-0.0265872,0.619799,0.0,0.0,0.0,-1.0
566060168,566055979,0.00166625,0.0392723,-0.021129,0.620111,0.0,0.0,0.0,-1.0
566160102,566155947,-0.00752813,0.0430426,-0.0746114,0.619078,0.0,0.0,0.0,-1.0
566260897,566256742,-0.00390702,0.043538,-0.100245,0.613954,0.0,0.0,0.0,-1.0
566365236,566360744,0.00481787,0.0421852,-0.101562,0.611324,0.0,0.0,0.0,-1.0
566465458,566460764,-0.00615874,0.041585,-0.103327,0.612147,0.0,0.0,0.0,-1.0
566565690,566560782,-0.00653695,0.0387296,-0.0858891,0.609326,0.0,0.0,0.0,-1.0
566665939,566661551,-0.00282109,0.0396403,-0.0514876,0.612691,0.0,0.0,0.0,-1.0
566769719,566765547,0.00142014,0.0368124,-0.0338107,0.609118,0.0,0.0,0.0,-1.0
566869807,566865547,0.00430727,0.0371614,-0.0213404,0.61145,0.0,0.0,0.0,-1.0
566970621,566966376,0.00388208,0.0408174,0.00170463,0.570973,0.0,0.0,0.0,-1.0
567074604,567070344,-0.0159477,0.0422984,-0.0098475,0.581232,0.0,0.0,0.0,-1.0
567178543,567174365,-0.00291241,0.0384023,-0.0315371,0.594266,0.0,0.0,0.0,-1.0
567279385,567275181,-0.00566109,0.0408536,0.0017616,0.599163,0.0,0.0,0.0,-1.0
567379407,567375186,-0.0120529,0.0380695,-0.022851,0.600879,0.0,0.0,0.0,-1.0
567483330,567479141,-0.00500282,0.0390561,-0.0350086,0.605114,0.0,0.0,0.0,-1.0
567584140,567579944,-0.00170027,0.0442632,-0.0416864,0.606866,0.0,0.0,0.0,-1.0
567684121,567679941,-0.00610136,0.0414539,-0.0356555,0.605707,0.0,0.0,0.0,-1.0
567788112,567783942,-0.0106521,0.0438017,-0.0446881,0.607579,0.0,0.0,0.0,-1.0
567888969,567884747,-0.0165795,0.0373203,-0.0142878,0.60875,0.0,0.0,0.0,-1.0
567988924,567984776,-0.00834915,0.0417658,-0.00839437,0.589243,0.0,0.0,0.0,-1.0
568093033,568088758,-6.60189e-05,0.0407101,-0.014252,0.590439,0.0,0.0,0.0,-1.0
568193847,568189558,-0.00702885,0.0376323,0.0179514,0.592193,0.0,0.0,0.0,-1.0
568293725,568289596,-0.0130246,0.0423043,0.0271667,0.59491,0.0,0.0,0.0,-1.0
568397975,568393542,-0.000643756,0.0391438,0.0120214,0.599183,0.0,0.0,0.0,-1.0
568498577,568494347,0.00253619,0.0442134,0.0108834,0.60279,0.0,0.0,0.0,-1.0
568598699,568594342,0.000696925,0.044756,-0.0164117,0.604197,0.0,0.0,0.0,-1.0
568698768,568694344,-0.0408598,0.046344,-0.0112502,0.603147,0.0,0.0,0.0,-1.0
568799340,568795181,0.0163962,0.0482478,-0.010786,0.602333,0.0,0.0,0.0,-1.0
568899340,568895191,0.0124183,0.0450378,-0.00869557,0.604499,0.0,0.0,0.0,-1.0
569003374,568999141,-0.0254838,0.0478143,-0.0218515,0.601961,0.0,0.0,0.0,-1.0
569104134,569099941,-0.0195816,0.0433019,-0.0151617,0.582753,0.0,0.0,0.0,-1.0
569204147,569199943,0.00124938,0.0454785,0.0110083,0.585901,0.0,0.0,0.0,-1.0
569304176,569299960,0.0050679,0.0371284,0.0048918,0.594002,0.0,0.0,0.0,-1.0
569410577,569404749,5.44607e-05,0.0367824,-0.000100564,0.596634,0.0,0.0,0.0,-1.0
569512999,569508746,-0.00857991,0.0400194,-0.000541415,0.599847,0.0,0.0,0.0,-1.0
569612992,569608761,0.0250276,0.0397336,-0.00779144,0.60231,0.0,0.0,0.0,-1.0
569713828,569709587,0.0118761,0.0436652,-0.022801,0.597315,0.0,0.0,0.0,-1.0
569817723,569813541,0.00550418,0.0403062,-0.0387705,0.599186,0.0,0.0,0.0,-1.0
569917753,569913558,0.016386,0.0360331,-0.0605862,0.596593,0.0,0.0,0.0,-1.0
570018582,570014377,0.0030723,0.0399517,-0.0479201,0.599234,0.0,0.0,0.0,-1.0
570122524,570118349,-0.000307538,0.0484897,-0.0554843,0.598261,0.0,0.0,0.0,-1.0
570222503,570218342,0.00630432,0.0424378,-0.0710403,0.596243,0.0,0.0,0.0,-1.0
570323325,570319142,0.00614371,0.035018,-0.0633657,0.593754,0.0,0.0,0.0,-1.0
570427292,570423178,-0.00982321,0.0350391,-0.0628392,0.594257,0.0,0.0,0.0,-1.0
570527293,570523141,-0.016915,0.0345643,-0.0492229,0.596402,0.0,0.0,0.0,-1.0
570632237,570627942,-0.000377351,0.0365094,-0.0368125,0.599266,0.0,0.0,0.0,-1.0
570732275,570727941,-0.00687707,0.0465338,-0.00643044,0.599526,0.0,0.0,0.0,-1.0
570832292,570827974,-0.0168749,0.0509911,-0.0115292,0.600209,0.0,0.0,0.0,-1.0
570932966,570928741,-0.0111568,0.0489335,-0.0029996,0.60046,0.0,0.0,0.0,-1.0
571036918,571032742,-0.0065757,0.0505199,-0.000326842,0.599387,0.0,0.0,0.0,-1.0
571136942,571132742,-0.0177935,0.0487845,-0.0055048,0.598013,0.0,0.0,0.0,-1.0
571237837,571233561,-0.0178008,0.0447081,-0.0106817,0.599115,0.0,0.0,0.0,-1.0
571337733,571333548,0.00755615,0.0481331,-0.0244343,0.600635,0.0,0.0,0.0,-1.0
571441701,571437550,-0.0065077,0.0511998,-0.0101055,0.600108,0.0,0.0,0.0,-1.0
571541701,571537571,-0.00420069,0.0498003,-0.0289533,0.598405,0.0,0.0,0.0,-1.0
571643703,571638342,-0.0137446,0.040367,-0.00806017,0.599193,0.0,0.0,0.0,-1.0
571746549,571742373,-0.01445,0.0323167,-0.0179393,0.602493,0.0,0.0,0.0,-1.0
571846538,571842374,-0.0159537,0.0482482,-0.0145065,0.606526,0.0,0.0,0.0,-1.0
571947341,571943167,-0.00582728,0.0548897,-0.00203314,0.604608,0.0,0.0,0.0,-1.0
572051437,572047144,-0.00517394,0.0484273,-0.0018278,0.601092,0.0,0.0,0.0,-1.0
572151343,572147141,-0.0106038,0.0451759,0.0132746,0.598555,0.0,0.0,0.0,-1.0
572252207,572247977,-0.00835931,0.0546953,0.00849344,0.598492,0.0,0.0,0.0,-1.0
572356126,572351941,-0.00757916,0.0380564,-0.00785457,0.597355,0.0,0.0,0.0,-1.0
572456938,572452742,-0.000236516,0.0366632,-0.0210251,0.596925,0.0,0.0,0.0,-1.0
572556973,572552741,-0.00607915,0.037696,-0.0297124,0.599487,0.0,0.0,0.0,-1.0
572660904,572656747,-0.00716142,0.0428505,-0.037024,0.601243,0.0,0.0,0.0,-1.0
572760945,572756742,-0.0129137,0.0441981,-0.0470166,0.601109,0.0,0.0,0.0,-1.0
572861689,572857541,-0.00458024,0.0341942,-0.0730493,0.601037,0.0,0.0,0.0,-1.0
572966007,572961544,-0.00903255,0.0348344,-0.0632081,0.605144,0.0,0.0,0.0,-1.0
573066071,573061570,-0.0187492,0.0397836,-0.0730223,0.607565,0.0,0.0,0.0,-1.0
573166574,573162348,-0.015051,0.034791,-0.0837848,0.607815,0.0,0.0,0.0,-1.0
573266518,573262342,-0.0139564,0.0300571,-0.0775048,0.60894,0.0,0.0,0.0,-1.0
573371374,573367142,-0.0200607,0.0499334,-0.0902908,0.609772,0.0,0.0,0.0,-1.0
573471320,573467142,-0.0145718,0.0583898,-0.099103,0.607266,0.0,0.0,0.0,-1.0
573571360,573567173,-0.0158251,0.052533,-0.0768402,0.600424,0.0,0.0,0.0,-1.0
573675391,573671141,-0.0185661,0.0698861,-0.0795575,0.602017,0.0,0.0,0.0,-1.0
