timestamp,roll,pitch,yaw,thrust
452727482,-0.0418445,-0.0409871,-0.135984,0.62821
452759522,-0.0411198,-0.0551546,-0.134398,0.627879
452792260,-0.0435931,-0.0628937,-0.132993,0.625928
452823521,-0.0567343,-0.0754902,-0.13188,0.625875
452855527,-0.0686773,-0.0836494,-0.130917,0.625435
452888317,-0.0717478,-0.0870287,-0.130312,0.624799
452920360,-0.0685019,-0.0853174,-0.129963,0.628432
452952482,-0.0540182,-0.0747025,-0.129609,0.628866
452980289,-0.0397166,-0.0692352,-0.129162,0.628461
453012664,-0.0245206,-0.0635809,-0.128512,0.630641
453044341,-0.0022705,-0.0350612,-0.127659,0.630996
453076284,0.00111024,-0.0237887,-0.127146,0.629187
453109102,0.00169739,-0.020537,-0.126943,0.630769
453141143,0.00611468,-0.0116404,-0.126771,0.62083
453173119,-0.00343405,-0.0148465,-0.126723,0.589633
453201119,-0.00664907,-0.0212116,-0.126576,0.58972
453233344,-0.0083051,-0.0350581,-0.126223,0.591256
453265079,-0.00492902,-0.0531996,-0.125649,0.593022
453297918,-0.012215,-0.0640339,-0.124983,0.594751
453329969,-0.019441,-0.0857058,-0.124253,0.595257
453361958,-0.0329688,-0.108266,-0.123486,0.591917
453393896,-0.0450843,-0.128348,-0.122703,0.595644
453425875,-0.0546325,-0.145178,-0.121991,0.598809
453457958,-0.0643744,-0.15999,-0.12151,0.60045
453489972,-0.0783881,-0.170669,-0.120941,0.602051
453523668,-0.0815423,-0.181718,-0.120275,0.604412
453554686,-0.0778867,-0.191832,-0.11959,0.606623
453586734,-0.0779468,-0.193148,-0.118853,0.607907
453618822,-0.0800383,-0.190141,-0.1183,0.609688
453650726,-0.0861288,-0.182084,-0.117831,0.610735
453682686,-0.0932553,-0.16834,-0.117182,0.611649
453714697,-0.108035,-0.161634,-0.116512,0.612302
453743937,-0.117889,-0.152065,-0.115882,0.612445
453775477,-0.121928,-0.138022,-0.115352,0.614102
453807552,-0.112538,-0.114305,-0.115109,0.614761
453839557,-0.0998947,-0.0985209,-0.115465,0.613754
453871516,-0.0869982,-0.0776295,-0.116222,0.611999
453904453,-0.0767621,-0.0558682,-0.117168,0.610573
453936354,-0.0488984,-0.0331484,-0.118038,0.611302
453964666,-0.0353665,-0.016855,-0.118783,0.611194
453996301,-0.027147,0.00694866,-0.119421,0.609989
454028314,-0.00569108,0.0353409,-0.120007,0.608928
454060328,0.0114708,0.053946,-0.120423,0.608295
454092293,0.0205858,0.0663037,-0.120602,0.607885
454124624,0.0288566,0.0802372,-0.120618,0.606013
454153138,0.0300733,0.0920926,-0.120756,0.603218
454185117,0.0231051,0.0914572,-0.121187,0.598801
454217165,0.0218271,0.0706238,-0.121807,0.600179
454249079,0.0210679,0.0441903,-0.122308,0.602265
454281114,0.0219942,0.0310964,-0.122485,0.603146
454313096,0.0270443,0.0222678,-0.122324,0.604799
454345348,0.0287773,-0.0156054,-0.121775,0.608706
454373915,0.0354352,-0.0212791,-0.120453,0.609991
454406006,0.0418942,-0.019899,-0.117984,0.61098
454437970,0.0474425,-0.00389863,-0.114084,0.612305
454469978,0.050126,0.00619649,-0.10963,0.613203
454501906,0.0466794,0.0145509,-0.104105,0.612887
454533962,0.0417568,0.043008,-0.0980527,0.611742
454565927,0.0340425,0.0674148,-0.0919392,0.609924
454595144,0.0281292,0.0713946,-0.0866798,0.609653
454626738,0.0311699,0.0994345,-0.0807856,0.610068
454658766,0.0418591,0.116627,-0.0752157,0.610541
454690682,0.0552945,0.124504,-0.0702751,0.610744
454722706,0.0632018,0.114796,-0.0658217,0.610125
454755408,0.062451,0.0907132,-0.061878,0.608803
454783480,0.0581143,0.0748303,-0.0585728,0.607714
454815680,0.0516048,0.0587698,-0.0553334,0.607584
454847489,0.0432725,-0.0128968,-0.052975,0.610048
454879561,0.0402245,-0.0347629,-0.0505783,0.61179
454911510,0.0407778,-0.0413648,-0.0486956,0.612985
454943566,0.0459451,-0.0436394,-0.0473742,0.614736
454975669,0.0466476,-0.0340075,-0.0465547,0.615142
455004312,0.0437103,-0.0226779,-0.046184,0.615025
455036281,0.0592709,0.0421284,-0.0456598,0.615956
455068284,0.0609762,0.0731216,-0.0455871,0.616044
455100300,0.0558598,0.0940796,-0.0458061,0.615044
455132311,0.051767,0.145105,-0.0461009,0.614027
455164358,0.0387631,0.180672,-0.0467982,0.612211
455196283,0.0182003,0.198223,-0.0478612,0.609321
455229121,0.00115441,0.210335,-0.0493275,0.607243
455261100,-0.0158677,0.212157,-0.0508147,0.605126
455293115,-0.0300526,0.196232,-0.0526846,0.603321
455326234,-0.0439276,0.166546,-0.0549133,0.602182
455357082,-0.0525502,0.123939,-0.0574846,0.611971
455389108,-0.0496603,0.0823328,-0.0605588,0.617323
455421115,-0.0439176,0.0331672,-0.0635837,0.61999
455453971,-0.03861,-0.0226776,-0.0669626,0.623063
455486600,-0.0356457,-0.0610627,-0.0700477,0.624842
455517997,-0.0298369,-0.0988548,-0.0730848,0.626647
455546296,-0.0237476,-0.123025,-0.0755374,0.627579
455577874,-0.0174029,-0.140117,-0.0782822,0.627451
455609975,-0.0175374,-0.134848,-0.0810769,0.626041
455642702,-0.0126064,-0.1157,-0.0835308,0.624737
455674677,-0.0126742,-0.092892,-0.086494,0.625759
455707286,-0.0124673,-0.0621653,-0.0905133,0.626285
455734678,-0.00181828,-0.00756043,-0.0944289,0.626415
455766821,0.00609531,0.0496516,-0.098809,0.62626
455798732,0.0121229,0.092309,-0.104357,0.62494
455831521,0.0102165,0.160024,-0.112916,0.623837
455863519,0.00636398,0.206756,-0.119999,0.624312
455895483,-0.00411196,0.2341,-0.12253,0.622022
455927511,-0.0311921,0.255788,-0.126449,0.617767
455955558,-0.0458746,0.255098,-0.128517,0.617031
455987609,-0.0564393,0.24774,-0.124321,0.61489
456019510,-0.0600915,0.217036,-0.121515,0.612206
456051500,-0.0588471,0.164841,-0.122308,0.614304
456084331,-0.0528853,0.117092,-0.121588,0.615179
456116307,-0.0478265,0.0748821,-0.118965,0.615091
456148356,-0.028364,0.00837827,-0.118146,0.617137
456180425,-0.0194045,-0.0341966,-0.114041,0.619818
456212314,-0.0140169,-0.0629738,-0.107461,0.621728
456244285,0.000441897,-0.0811404,-0.101803,0.624234
456277863,-0.00127765,-0.0894779,-0.0970513,0.626586
456309123,-0.0140045,-0.0941411,-0.0920669,0.627033
456337929,-0.0118902,-0.0722777,-0.0870447,0.626893
456369084,-0.012535,-0.055256,-0.0818354,0.63193
456401159,-0.0101214,-0.038097,-0.0780135,0.632973
456433161,-0.0116386,-0.0131475,-0.0748565,0.609494
456465156,-0.0120947,0.0160031,-0.0715057,0.607639
456498119,-0.0173793,0.0462779,-0.0680219,0.610571
456525947,-0.0215357,0.0712103,-0.064939,0.626829
456558749,-0.0262371,0.101065,-0.0611705,0.627694
456589980,-0.0274199,0.128691,-0.0572594,0.6292
456621878,-0.0275133,0.150521,-0.05316,0.6334
456653875,-0.0267602,0.164911,-0.0492703,0.635878
456685909,-0.0278791,0.170373,-0.0449601,0.63266
456718711,-0.0230452,0.170864,-0.0402288,0.633238
456746706,-0.0181298,0.164595,-0.0360124,0.638724
456778716,-0.022639,0.158446,-0.0315031,0.642849
456810703,-0.0273399,0.149351,-0.0270414,0.64134
456842761,-0.0221661,0.139198,-0.0225261,0.643526
456874726,-0.0153286,0.127576,-0.0182,0.658132
456907537,-0.00999632,0.121062,-0.0136584,0.656429
456939640,-0.0019,0.117091,-0.00909788,0.652583
456967473,0.00618531,0.117682,-0.00471083,0.652917
456999511,0.00923733,0.123103,0.00101849,0.64964
457031547,0.0125135,0.115619,0.00767821,0.64881
457063596,0.0143262,0.108716,0.0140371,0.64834
457095483,0.0146531,0.103555,0.020681,0.645985
457127514,0.0142435,0.0937376,0.0270004,0.643437
457156273,0.0159467,0.0797765,0.0318238,0.642314
457189347,0.0161158,0.0663547,0.0363087,0.641262
457220291,0.0194226,0.0556917,0.0396478,0.640807
457252323,0.028206,0.0500562,0.0422625,0.640464
457284279,0.0358007,0.0453878,0.0438204,0.639125
457316272,0.0374754,0.0380732,0.0447168,0.637557
457349568,0.0361851,0.027924,0.0449265,0.63699
457381104,0.0332756,0.018309,0.0444012,0.638595
457413138,0.029566,0.0143671,0.0432374,0.639014
457445095,0.0381986,0.00189378,0.0419749,0.637936
457477080,0.0455382,-0.000914188,0.0409012,0.637125
457510021,0.0554077,-0.0018447,0.0399592,0.637239
457537116,0.0722187,-0.00947012,0.0391938,0.638659
457570086,0.0832006,-0.0062943,0.0384457,0.63852
457601903,0.0803921,0.0050247,0.0380193,0.637635
457633877,0.0774,0.00725691,0.0378391,0.637761
457665872,0.0661664,0.0164008,0.0376943,0.638495
457697892,0.0517537,0.0328745,0.0374411,0.637424
457726671,0.0443386,0.0442837,0.0372625,0.635124
457758789,0.0455343,0.054975,0.0371509,0.634347
457790721,0.0495077,0.0729477,0.0372453,0.63399
457822810,0.0478324,0.0916414,0.0374817,0.633147
457854689,0.0412869,0.1087,0.0381257,0.632066
457886790,0.0336407,0.124263,0.0391712,0.631566
457918747,0.026286,0.135793,0.0407983,0.631256
457950840,0.0252552,0.150084,0.0427432,0.631663
457978738,0.0186128,0.152972,0.0445971,0.630328
458011522,0.00757188,0.150707,0.0467003,0.626598
458043522,0.0157395,0.17265,0.0487938,0.625566
458075482,0.0139049,0.173438,0.0509735,0.627207
458107511,0.00988523,0.163214,0.0535053,0.625963
458139527,0.0104023,0.139039,0.0562259,0.624337
458171485,0.00703175,0.109135,0.0593032,0.624588
458204291,-0.000406472,0.07841,0.0626549,0.625306
458236345,-0.00650796,0.0215188,0.0654456,0.62759
458268299,-0.00795284,-0.0207522,0.068275,0.630247
458301173,-0.00640008,-0.0469575,0.0712169,0.632608
458332295,0.00113717,-0.0670024,0.0740312,0.633972
458365082,0.00521309,-0.0794631,0.0762109,0.633943
458397110,-0.00164068,-0.0870802,0.0776649,0.631933
458429107,-0.0166545,-0.0961413,0.0786405,0.630113
458462153,-0.0343302,-0.110674,0.078754,0.628162
458493082,-0.0553359,-0.127939,0.0777834,0.626441
458521552,-0.0626323,-0.135686,0.0759729,0.627187
458553094,-0.0723889,-0.143811,0.0727579,0.629575
458585184,-0.0723344,-0.147727,0.0684916,0.631094
458617076,-0.0668513,-0.149185,0.0638466,0.632109
458650013,-0.0361543,-0.147868,0.0588983,0.633534
458682056,-0.022795,-0.141724,0.0541718,0.63373
458709979,-0.0205315,-0.134758,0.0499836,0.633439
458742252,-0.0248594,-0.124214,0.0452242,0.633139
458773939,-0.0346262,-0.112217,0.040391,0.633447
458805918,-0.0425972,-0.0961057,0.0351483,0.634054
458838759,-0.0334849,-0.0668492,0.0299714,0.633622
458870700,-0.0221767,-0.0454084,0.0247656,0.631942
458903067,-0.00904409,-0.0324175,0.0196822,0.63131
458934736,0.0161273,-0.0169187,0.0146617,0.630857
458966674,0.0310369,-0.00671789,0.0104679,0.631836
458998741,0.036587,0.00251011,0.00653317,0.632765
459030735,0.0308337,-0.001998,0.00308208,0.632708
459063557,0.029336,-0.0178936,0.000181765,0.633573
459092587,0.034555,-0.0115411,-0.00167266,0.633446
459123569,0.0329903,-0.0184965,-0.00345721,0.633641
459155554,0.034225,-0.0169489,-0.00491438,0.63324
459187489,0.0378479,-0.00727826,-0.00600392,0.633275
459219555,0.0401685,0.00134601,-0.00717439,0.632416
459251523,0.0440524,0.00216447,-0.00805496,0.632053
459280301,0.0535022,0.00194072,-0.00840057,0.633343
459313063,0.0626467,0.00221608,-0.00804917,0.633493
459501119,0.108053,0.0649253,0.00237662,0.635754
