timestamp,min_distance,max_distance,current_distance,covariance,type,id,orientation
1080348671,0.01,120.0,0.98,0.0,0,0,8
1080399668,0.01,120.0,1.82,0.0,0,0,8
1080449806,0.01,120.0,1.11,0.0,0,0,8
1080501015,0.01,120.0,1.11,0.0,0,0,8
1080551632,0.01,120.0,1.11,0.0,0,0,8
1080601684,0.01,120.0,0.95,0.0,0,0,8
1080653329,0.01,120.0,0.0,0.0,0,0,8
1080707183,0.01,120.0,0.94,0.0,0,0,8
1080757254,0.01,120.0,0.94,0.0,0,0,8
1080807157,0.01,120.0,1.19,0.0,0,0,8
1080857674,0.01,120.0,0.92,0.0,0,0,8
1080909394,0.01,120.0,0.98,0.0,0,0,8
1080961806,0.01,120.0,1.14,0.0,0,0,8
1081011644,0.01,120.0,0.72,0.0,0,0,8
1081062684,0.01,120.0,1.14,0.0,0,0,8
1081113680,0.01,120.0,1.24,0.0,0,0,8
1081166906,0.01,120.0,1.11,0.0,0,0,8
1081218186,0.01,120.0,1.56,0.0,0,0,8
1081269550,0.01,120.0,1.22,0.0,0,0,8
1081319734,0.01,120.0,1.53,0.0,0,0,8
1081371303,0.01,120.0,1.14,0.0,0,0,8
1081422713,0.01,120.0,1.46,0.0,0,0,8
1081474261,0.01,120.0,1.07,0.0,0,0,8
1081524629,0.01,120.0,1.26,0.0,0,0,8
1081575652,0.01,120.0,0.97,0.0,0,0,8
1081628111,0.01,120.0,1.22,0.0,0,0,8
1081679324,0.01,120.0,0.99,0.0,0,0,8
1081730822,0.01,120.0,1.16,0.0,0,0,8
1081782482,0.01,120.0,1.2,0.0,0,0,8
1081832647,0.01,120.0,1.01,0.0,0,0,8
1081882914,0.01,120.0,0.98,0.0,0,0,8
1081932642,0.01,120.0,0.92,0.0,0,0,8
1081983294,0.01,120.0,1.12,0.0,0,0,8
1082034230,0.01,120.0,0.8,0.0,0,0,8
1082084629,0.01,120.0,0.94,0.0,0,0,8
1082134782,0.01,120.0,3.31,0.0,0,0,8
1082186566,0.01,120.0,1.51,0.0,0,0,8
1082240282,0.01,120.0,0.96,0.0,0,0,8
1082290839,0.01,120.0,1.14,0.0,0,0,8
1082341055,0.01,120.0,0.93,0.0,0,0,8
1082392460,0.01,120.0,1.07,0.0,0,0,8
1082444164,0.01,120.0,1.07,0.0,0,0,8
1082493824,0.01,120.0,1.06,0.0,0,0,8
1082544195,0.01,120.0,1.25,0.0,0,0,8
1082594633,0.01,120.0,1.33,0.0,0,0,8
1082644679,0.01,120.0,1.23,0.0,0,0,8
1082694640,0.01,120.0,1.73,0.0,0,0,8
1082745855,0.01,120.0,1.3,0.0,0,0,8
1082796467,0.01,120.0,1.22,0.0,0,0,8
1082846687,0.01,120.0,0.87,0.0,0,0,8
1082897751,0.01,120.0,0.87,0.0,0,0,8
1082949898,0.01,120.0,0.95,0.0,0,0,8
