timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
1045900053,0.339491,-0.247441,-0.0717594,-0.997775,-0.00801533,0.0434928,0.049895
1045932044,0.244489,-0.178723,-0.0608386,-0.99754,-0.012428,0.0467338,0.0507493
1045964016,0.0594665,-0.0793164,-0.06873,-0.997363,-0.014697,0.0487308,0.0517332
1045992044,-0.0522142,0.0320024,-0.0737163,-0.997312,-0.0143834,0.0487856,0.0527362
1046024033,0.0227604,0.14536,-0.0714134,-0.997345,-0.0143827,0.0469923,0.0537451
1046060034,0.117422,0.197391,-0.0606871,-0.997426,-0.0156545,0.0435748,0.0547566
1046092044,0.243543,0.203252,-0.0542588,-0.997461,-0.0191055,0.0404356,0.0554134
1046124041,0.101794,0.243596,-0.0608431,-0.997504,-0.0218306,0.0368124,0.056168
1046156070,0.180296,0.297043,-0.0557429,-0.99757,-0.0242554,0.0321802,0.0568377
1046188034,0.00578114,0.335939,-0.0686746,-0.997631,-0.0260629,0.0270415,0.0576306
1046220034,-0.111946,0.364927,-0.0765202,-0.997735,-0.0251166,0.0212299,0.0586865
1046252052,-0.216724,0.356447,-0.0881977,-0.997831,-0.0227921,0.0151057,0.0598748
1046284032,-0.152046,0.300936,-0.0763806,-0.997893,-0.0195904,0.00953915,0.0611149
1046317617,-0.0342047,0.229028,-0.0781834,-0.997874,-0.0188448,0.00494345,0.0621858
1046349640,-0.169909,0.176887,-0.0950454,-0.997832,-0.0169505,0.0015537,0.0635726
1046381634,-0.0343722,0.10334,-0.0784815,-0.997783,-0.0152011,-0.00059946,0.0647869
1046413640,0.0726055,0.0502106,-0.0786784,-0.997686,-0.0163109,-0.00167895,0.0659871
1046445617,-0.00296412,0.0192554,-0.0882207,-0.997589,-0.0167692,-0.00209741,0.067313
1046477633,0.0256352,-0.00342752,-0.0774522,-0.997508,-0.0170291,-0.00221335,0.0684311
1046509634,0.0448831,-0.0359519,-0.0722498,-0.997419,-0.0173861,-0.0016417,0.0696437
1046541641,0.0693809,-0.0450592,-0.0741939,-0.997326,-0.0183763,-0.00087123,0.0707208
1046569619,-0.0604903,-0.0561443,-0.0762689,-0.997256,-0.0181841,-3.85755e-06,0.0717558
1046601618,-0.0561114,-0.0718295,-0.0684279,-0.997204,-0.0169602,0.00103478,0.0727768
1046633643,-0.0399389,-0.109698,-0.0677248,-0.997135,-0.01612,0.00256973,0.0738669
1046665615,-0.124632,-0.113637,-0.0732385,-0.997065,-0.0147032,0.00427708,0.0750183
1046697614,-0.251409,-0.0929477,-0.0850485,-0.997012,-0.0110696,0.00571795,0.0762395
