timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
1117794930,-0.00289263,-0.0821649,0.0289355,0.0,0.999051,-0.000850762,-0.0410874,0.0143956,0.646303,-1.0,1,0,0,0,0,0,0
1117825436,-0.00707208,-0.0880203,0.0289355,0.0,0.998923,-0.00289574,-0.0440422,0.0142976,0.644968,-1.0,1,0,0,0,0,0,0
1117854811,0.00691625,-0.0933678,0.0289355,0.0,0.998798,0.00412913,-0.0466118,0.0146128,0.642003,-1.0,1,0,0,0,0,0,0
1117885733,0.00736254,-0.0999037,0.0289355,0.0,0.998639,0.00439865,-0.0498723,0.0146329,0.642374,-1.0,1,0,0,0,0,0,0
1117914832,0.00834301,-0.103774,0.0289355,0.0,0.998538,0.00491576,-0.0517975,0.014664,0.630187,-1.0,1,0,0,0,0,0,0
1117945724,-7.45304e-05,-0.113033,0.0289355,0.0,0.998299,0.00078,-0.056481,0.014442,0.590925,-1.0,1,0,0,0,0,0,0
1117975176,-0.00258937,-0.109917,0.0289355,0.0,0.998386,-0.000497897,-0.0549437,0.0143743,0.562575,-1.0,1,0,0,0,0,0,0
1118015274,-0.00739532,-0.110469,0.0289355,0.0,0.998367,-0.00289294,-0.0552539,0.014241,0.569721,-1.0,1,0,0,0,0,0,0
1118045083,-0.00300564,-0.10506,0.0289355,0.0,0.998516,-0.000740978,-0.0525219,0.0143684,0.597253,-1.0,1,0,0,0,0,0,0
1118075554,0.0102517,-0.103685,0.0289355,0.0,0.998535,0.00586808,-0.0517393,0.0147132,0.615306,-1.0,1,0,0,0,0,0,0
1118105832,0.00869828,-0.096998,0.0289355,0.0,0.998707,0.00504492,-0.0484116,0.0146609,0.625393,-1.0,1,0,0,0,0,0,0
1118135263,0.00396567,-0.0941153,0.0289355,0.0,0.998785,0.00266097,-0.0470066,0.0145445,0.631126,-1.0,1,0,0,0,0,0,0
1118165962,0.00745542,-0.0884631,0.0289355,0.0,0.998908,0.00436336,-0.0441583,0.0146178,0.637344,-1.0,1,0,0,0,0,0,0
1118206182,0.0067099,-0.0867322,0.0289355,0.0,0.998948,0.00397862,-0.0432992,0.014599,0.641884,-1.0,1,0,0,0,0,0,0
1118235604,0.00480281,-0.0782014,0.0289355,0.0,0.999127,0.00296485,-0.0390518,0.01455,0.671468,-1.0,1,0,0,0,0,0,0
1118265811,0.00957811,-0.0753108,0.0289355,0.0,0.999172,0.00532978,-0.0375729,0.0146371,0.683982,-1.0,1,0,0,0,0,0,0
1118295742,0.00541067,-0.0786627,0.0289355,0.0,0.999117,0.00327182,-0.0392779,0.0145624,0.68554,-1.0,1,0,0,0,0,0,0
1118325786,0.00351411,-0.072745,0.0289355,0.0,0.999232,0.0022818,-0.0363352,0.0145215,0.684187,-1.0,1,0,0,0,0,0,0
1118365578,-0.000109153,-0.0730308,0.0289355,0.0,0.999229,0.000473625,-0.0365043,0.0144556,0.67552,-1.0,1,0,0,0,0,0,0
1118395806,0.000175247,-0.0760245,0.0289355,0.0,0.999173,0.000637351,-0.0379979,0.0144601,0.672157,-1.0,1,0,0,0,0,0,0
1118426046,0.00434786,-0.0810604,0.0289355,0.0,0.999071,0.00275811,-0.0404833,0.0145434,0.658288,-1.0,1,0,0,0,0,0,0
1118456448,0.000123995,-0.0791711,0.0289355,0.0,0.999112,0.000634486,-0.0395702,0.0144584,0.646711,-1.0,1,0,0,0,0,0,0
1118485979,-0.00389008,-0.0870913,0.0289355,0.0,0.998947,-0.00131321,-0.0435554,0.0143688,0.640415,-1.0,1,0,0,0,0,0,0
1118515942,-0.0131849,-0.087006,0.0289355,0.0,0.998932,-0.00595632,-0.0435791,0.0141666,0.628339,-1.0,1,0,0,0,0,0,0
1118546063,-0.00653226,-0.0815864,0.0289355,0.0,0.99906,-0.00267307,-0.0408246,0.0143219,0.612751,-1.0,1,0,0,0,0,0,0
1118586268,-0.00484378,-0.0974002,0.0289355,0.0,0.998709,-0.00171448,-0.0487106,0.0143322,0.6018,-1.0,1,0,0,0,0,0,0
1118616061,-0.00957287,-0.083289,0.0289355,0.0,0.99902,-0.00417947,-0.0416968,0.0142553,0.610293,-1.0,1,0,0,0,0,0,0
1118646559,-0.00269731,-0.0897585,0.0289355,0.0,0.998888,-0.000698094,-0.0448789,0.0143922,0.631358,-1.0,1,0,0,0,0,0,0
1118676043,-0.0066055,-0.0887404,0.0289355,0.0,0.998908,-0.00265745,-0.0443985,0.0143064,0.640476,-1.0,1,0,0,0,0,0,0
1118715743,-0.00651893,-0.0805947,0.0289355,0.0,0.99908,-0.00267364,-0.0403291,0.0143241,0.64348,-1.0,1,0,0,0,0,0,0
1118746096,-0.00475594,-0.0839942,0.0289355,0.0,0.999012,-0.00176822,-0.0420146,0.0143546,0.647693,-1.0,1,0,0,0,0,0,0
1118776119,-0.00127024,-0.0804486,0.0289355,0.0,0.999087,-5.27629e-05,-0.0402184,0.01443,0.646746,-1.0,1,0,0,0,0,0,0
1118807355,-0.00646885,-0.0743266,0.0289355,0.0,0.999201,-0.00269432,-0.0371974,0.014337,0.644145,-1.0,1,0,0,0,0,0,0
1118836311,-0.00384568,-0.0586108,0.0289355,0.0,0.999465,-0.0014979,-0.0293259,0.0144047,0.612149,-1.0,1,0,0,0,0,0,0
1118866951,-0.00758361,-0.0632159,0.0289355,0.0,0.99939,-0.0033323,-0.031654,0.0143401,0.599615,-1.0,1,0,0,0,0,0,0
1118896339,-0.000815099,-0.0685699,0.0289355,0.0,0.999308,8.86438e-05,-0.0342805,0.0144448,0.592717,-1.0,1,0,0,0,0,0,0
1118936216,-0.0096351,-0.0592398,0.0289355,0.0,0.999447,-0.00438647,-0.0296818,0.0143181,0.570799,-1.0,1,0,0,0,0,0,0
1118966937,-0.000153458,-0.0671849,0.0289355,0.0,0.999331,0.000409221,-0.0335837,0.0144565,0.564178,-1.0,1,0,0,0,0,0,0
1118996872,-0.00158342,-0.0606098,0.0289355,0.0,0.999436,-0.000352903,-0.0303085,0.0144366,0.564741,-1.0,1,0,0,0,0,0,0
1119026705,-0.00689618,-0.0515643,0.0289355,0.0,0.999558,-0.00307362,-0.0258263,0.0143735,0.578331,-1.0,1,0,0,0,0,0,0
1119056992,0.0070081,-0.0505101,0.0289355,0.0,0.999569,0.00386789,-0.0251989,0.014551,0.596368,-1.0,1,0,0,0,0,0,0
1119086896,0.00304549,-0.0600465,0.0289355,0.0,0.999443,0.00195619,-0.0299936,0.0145064,0.609429,-1.0,1,0,0,0,0,0,0
1119116971,0.000474836,-0.054719,0.0289355,0.0,0.999521,0.000633071,-0.0273498,0.0144683,0.603295,-1.0,1,0,0,0,0,0,0
